Gene	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	p-value(Mesenchymal-tex vs. TOTBRAIN)	fold change(Mesenchymal-tex vs. TOTBRAIN)	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	
ACO1	0.598924	-1.08103	0.283902	1.19146			
ACO2	0.105358	-1.30969	1.16276e-008	-3.95071			
ACOT1	0.718233	-1.03022	0.0780213	-1.17746			
ACOT12	0.0254109	-1.52941	0.706237	1.0782			
ACOT2	0.775824	-1.03245	0.0748254	-1.25194			
ACOT7	0.00699964	1.31207	3.75027e-005	-1.6429			
ACOT9	0.00024978	1.80429	0.881378	1.0237			
ACP2	0.000560777	-1.45869	0.522438	1.07181			
ACRV1	0.235935	1.10801	0.695199	1.03743			
ACSL1	2.14637e-009	3.96106	0.0302224	-1.50306			
ACSL4	1.94563e-005	2.88957	5.03194e-005	-2.95962			
ACSL5	0.981748	-1.00811	0.00721824	-3.02181			
ACSL6	0.697087	-1.03502	9.91562e-008	-1.94956			
ACTL6A	0.00558652	1.32931	8.77872e-006	1.74768			
ACTL7A	0.255029	1.1392	0.436641	1.10186			
ACTN1	0.296988	-1.28513	0.152994	-1.46172			
ACTN4	0.220497	1.28226	0.0149044	-1.75466			
ACTR3	0.545685	-1.1274	0.18172	-1.34159			
ACTR3B	4.27226e-008	2.30303	5.27216e-005	-1.80759			
ACTR3BP2	0.660185	1.04904	0.0553036	-1.26554			
ACTR3C	1.64388e-006	1.6566	3.17788e-006	-1.70076			
ACTR5	1.53115e-005	1.45491	0.000718329	1.35072			
ACTR6	0.195931	1.17983	9.07364e-007	-2.32292			
ACVR1C	0.662865	-1.04063	1.16925e-017	-5.97853			
ACVR2A	0.00211868	-1.92943	0.00240115	-2.0334			
ACY3	0.965737	-1.00495	0.101038	1.23521			
ADA	1.76133e-005	1.7942	0.361507	-1.12341			
ADAL	0.936681	1.01249	0.195733	-1.25192			
ADAM10	0.779295	1.05758	0.107832	-1.43262			
ADAM12	0.22751	-1.94334	0.603396	1.36368			
ADAM19	0.453253	1.21414	0.974039	1.00922			
ADAM22	0.00372377	2.03469	0.139483	-1.45573			
ADAM28	0.0716107	1.56903	0.14128	1.49063			
ADAM33	0.893986	-1.00951	0.0023512	1.29234			
ADAMTS18	0.916181	-1.03268	0.921895	1.03336			
ADAMTS9	0.215611	1.87898	0.806914	-1.14417			
ADAMTS9-AS1	0.866058	1.012	0.155471	1.11843			
ADAMTS9-AS2	0.653745	1.12537	0.127961	1.56369			
ADAR	0.629082	1.09014	0.234144	-1.26518			
ADAT1	0.700029	1.07605	0.0317324	-1.59208			
ADCK2	5.73036e-007	1.69062	0.21251	-1.12294			
ADCK3	0.0382905	1.19773	0.584477	-1.05171			
ADCY8	0.118206	-1.28474	0.000540957	1.93645			
ADCY9	4.93104e-010	1.89219	0.000669221	-1.34222			
ADD2	0.000179515	2.21358	0.0171271	-1.6723			
ADH4	0.509941	-1.09813	0.535112	1.10129			
ADIG	0.638223	-1.0333	0.000263103	1.36668			
ADIPOR1	0.148753	1.14879	0.146464	1.16514			
ADIPOR2	0.361156	-1.32331	0.0290651	-2.13534			
ADM	1.3586e-007	-2.83376	4.68628e-006	2.53058			
ADNP2	0.00483567	1.58023	0.311879	-1.18463			
ADORA1	0.0713683	1.19201	0.0122433	-1.31576			
ADPGK	9.72699e-007	1.3328	1.48722e-007	1.41858			
ADPRH	0.902537	-1.00863	0.0535569	1.16541			
ADRA2A	0.453266	1.05014	0.0130434	-1.20463			
ADRB2	0.77748	1.02617	0.0666916	-1.20789			
ADRBK1	0.314934	1.08288	2.58933e-007	-1.75748			
ADRBK2	0.312243	1.31014	7.8005e-006	-4.71656			
ADRM1	0.982257	1.00146	0.721109	1.02608			
ADSL	0.0240896	1.37695	0.957584	-1.00794			
ADSS	6.96132e-007	2.37033	0.000382104	-1.83142			
AFAP1	1.09945e-005	1.45989	0.000381991	1.37002			
AFAP1L1	0.0452581	1.46854	0.0614253	1.4792			
AFF1	0.331063	-1.15382	0.063067	1.3583			
AFF3	0.0233478	-1.29268	0.0564553	-1.26301			
AFG3L2	0.00869507	1.58439	0.0627831	-1.41486			
AFTPH	0.615737	-1.07339	0.000459524	-1.82488			
AGA	0.0418082	-1.5146	0.400444	-1.20012			
AGBL2	0.294712	-1.16855	4.76091e-008	3.1801			
AGBL3	8.27492e-006	1.57786	1.29057e-007	1.89423			
AGFG2	0.611844	1.05422	0.89789	-1.01471			
AGK	5.38744e-006	1.92804	0.924613	1.01251			
AGMO	0.000325514	4.72281	0.00743848	3.33032			
AGPAT9	0.610549	1.14677	0.129934	-1.5744			
AGPS	0.0990199	1.39155	0.0570093	-1.52325			
AGRP	0.71233	-1.0327	0.565534	1.05656			
AGT	4.80653e-005	2.93992	0.373391	-1.25239			
AHCYL1	0.00362267	1.57958	0.001599	-1.7342			
AHCYL2	0.389689	1.21712	0.314725	-1.28679			
AHI1	0.00180481	1.40193	0.38397	-1.1002			
AHNAK	0.815042	-1.02596	0.0418881	1.28773			
AHNAK2	0.617507	1.10715	0.217997	-1.32052			
AHSA1	0.0212811	1.53015	2.40932e-005	-2.60227			
AIF1L	0.194668	1.45918	0.52897	-1.2199			
AIFM1	2.50284e-006	2.26464	0.22142	1.21298			
AIM1	0.0954959	2.36382	0.488552	1.46804			
AIMP1	0.0144399	1.30759	0.0985803	1.21272			
AIMP2	1.01605e-005	1.93992	0.00305703	1.55559			
AIP	0.000391052	1.36837	1.95458e-007	-1.78165			
AJUBA	0.71203	-1.07732	0.0159908	1.749			
AK2	4.666e-005	1.86578	3.45058e-005	2.01093			
AKAP1	8.92297e-013	1.81155	4.61991e-006	-1.36077			
AKAP17A	0.0123685	1.18645	0.00727764	1.2246			
AKAP7	0.042272	-1.42256	0.0736226	-1.40132			
AKAP8	3.59018e-006	1.29304	4.3382e-014	1.93426			
AKAP9	0.000635221	1.73021	0.524403	1.10675			
AKIP1	0.320037	1.06736	0.620678	1.03595			
AKNAD1	0.687751	-1.18979	0.000103428	8.14107			
AKR1B1	4.1527e-007	1.8949	0.563402	1.06563			
AKR1B10	0.805994	1.02169	0.078657	1.18854			
AKR1C2	0.550915	-1.11286	0.000404867	-2.16545			
AKR1C3	0.874599	-1.0275	0.00881218	-1.68732			
AKT1	0.119594	1.09172	6.04564e-007	1.45937			
ALAS1	0.308321	1.13116	4.88324e-006	-2.06153			
ALDH1A2	0.628832	-1.045	0.398664	1.08821			
ALDH1B1	0.0652445	1.26721	0.274425	-1.1629			
ALDH1L2	0.000254499	2.92276	0.0683326	1.70864			
ALDH3A2	0.801322	-1.04713	0.985468	1.00366			
ALG14	0.939889	1.00604	0.454876	1.06787			
ALG2	0.0397906	1.19359	0.00672582	1.30029			
ALG3	0.000168469	1.40257	0.000223771	1.43589			
ALG8	0.0194751	1.33945	0.122131	1.22912			
ALG9	0.160588	-1.23345	0.00155923	1.74345			
ALG9-IT1	0.763437	-1.03844	7.41611e-006	2.08626			
ALK	0.857789	-1.0235	0.152947	-1.22934			
ALKBH1	0.958639	-1.00833	0.0124034	-1.5881			
ALKBH3	0.000112584	1.36605	4.89347e-007	1.63347			
ALKBH8	0.00048033	1.51245	0.00129758	1.50783			
ALMS1-IT1	0.00326969	1.34998	0.0021668	1.41202			
ALOX12B	0.533235	-1.06077	0.970737	1.0038			
ALOX15B	0.366244	-1.06193	5.43077e-005	1.40104			
ALOX15P1	0.596151	-1.04716	0.406994	-1.08249			
ALPK1	0.000296585	-1.62158	0.00171446	1.56153			
ALPK2	2.57874e-005	6.88466	0.237228	1.67108			
ALS2CR12	0.623954	1.03614	7.41574e-013	2.53819			
ALYREF	0.103081	1.20049	1.66698e-005	1.83927			
AMBP	0.793054	-1.0308	0.472866	1.09556			
AMMECR1	7.90011e-006	1.67742	0.787637	1.02902			
AMMECR1-IT1	0.00478134	1.30279	0.294793	1.1067			
AMOTL1	0.0696399	1.09501	7.4109e-014	1.98739			
AMZ2	0.609073	1.0709	0.437275	-1.12109			
ANAPC1	1.93402e-006	1.85412	0.116644	1.20411			
ANAPC10	0.861732	1.02025	0.507709	-1.08743			
ANAPC13	0.000570153	1.26247	0.179141	-1.09542			
ANAPC1P1	2.4085e-005	1.64042	0.13465	1.1819			
ANAPC4	0.524571	1.10294	0.534279	-1.11051			
ANGEL1	0.00240018	1.78571	0.367135	-1.19174			
ANGPT1	0.607585	-1.20161	0.821446	-1.09227			
ANGPT2	0.151197	1.91935	0.189285	-1.91808			
ANGPTL2	0.315842	1.12727	2.18296e-006	2.11971			
ANK1	0.902343	-1.01296	0.000648516	-1.5433			
ANK3	0.0429365	-2.8971	0.000101086	-11.8055			
ANKH	0.663317	-1.1782	0.00827453	-3.17488			
ANKIB1	0.246567	1.20082	0.7334	-1.06005			
ANKK1	0.639839	-1.03273	0.500389	1.05222			
ANKMY2	0.0043479	1.55648	0.00067948	-1.81352			
ANKRD18CP	0.453452	1.28843	0.0174624	-2.50804			
ANKRD20A1	4.16144e-006	3.05216	0.0223516	-1.69016			
ANKRD20A11P	0.00266497	2.10613	0.00582075	2.09536			
ANKRD20A2	3.90038e-006	2.91711	0.0261327	-1.62765			
ANKRD20A4	5.14789e-007	3.31504	0.0186975	-1.67097			
ANKRD27	1.82185e-006	2.58754	0.061752	-1.40818			
ANKRD32	0.00383753	1.27793	0.0844424	-1.16531			
ANKRD36	0.000904334	1.88946	3.70297e-006	2.914			
ANKRD36B	0.00501932	1.76832	5.94359e-005	2.61823			
ANKRD36C	0.00414	1.79466	8.16114e-006	3.02992			
ANKRD49	0.586423	1.10057	0.0969238	1.38691			
ANKRD5	0.0143047	1.64307	0.382841	-1.20352			
ANKRD61	0.0133359	1.29798	0.0125229	1.33451			
ANKRD62	0.675713	1.0255	2.66853e-008	-1.62617			
ANLN	0.0917391	1.85763	0.0346312	-2.36763			
ANO1	0.495254	-1.15515	0.649395	-1.11081			
ANO7L1	0.314128	-1.14644	0.0296117	1.39656			
ANP32B	5.37798e-006	1.39021	0.000229473	1.31471			
ANTXR2	0.0153193	-1.9683	0.0299483	1.92977			
ANTXRL	0.494954	-1.03983	0.13637	1.09942			
ANXA1	0.16344	1.67364	0.000273932	5.08938			
ANXA2	0.0495696	1.69815	0.000716091	2.91127			
ANXA2P1	0.0816271	1.63878	0.0155246	2.16099			
ANXA2P2	0.0806453	1.68791	0.000582036	3.38673			
ANXA2P3	0.0167522	1.31347	0.00033799	1.61093			
ANXA2R	0.00022241	1.92894	0.00736604	1.63738			
ANXA4	0.130807	-1.2742	0.634951	1.08542			
ANXA5	1.63232e-006	-3.36167	1.73194e-005	3.12912			
ANXA7	0.278388	-1.3047	0.00191861	-2.45367			
ANXA9	0.885861	1.00695	0.998858	1.00008			
AP1AR	0.0235775	1.31886	0.0661832	-1.27422			
AP1B1	0.0595239	-1.18656	0.0360342	-1.2337			
AP2M1	0.0756336	-1.22965	0.0103043	-1.40058			
AP3S1	0.0659911	1.21387	0.000100784	-1.64615			
AP4M1	0.0212408	1.15826	1.19782e-005	1.41425			
AP5M1	0.646886	-1.12746	0.000424105	-3.08069			
APAF1	0.962127	1.0042	0.000306079	1.47908			
APBA1	0.00163728	-1.21251	3.42807e-019	-3.48904			
APEX2	1.16308e-008	1.96166	0.357526	1.09292			
API5	0.816774	1.02547	0.211648	-1.16233			
APIP	0.00160182	1.44443	0.0717403	1.24202			
APLF	0.279399	1.15456	0.13859	-1.24292			
APLP2	0.199289	-1.20501	0.0562682	-1.36215			
APOBEC3B	0.711824	1.07614	0.0175992	1.71864			
APOBEC3C	0.0277724	-1.65581	0.0942891	1.51091			
APOBEC3D	0.363595	-1.18181	0.032171	1.56148			
APOBEC3F	0.164298	-1.21707	0.0164172	1.46775			
APOBEC3G	0.552033	-1.0862	0.229362	1.20294			
APOH	0.447548	-1.05924	0.534381	-1.05284			
APOL1	0.84995	1.01576	0.736253	-1.03099			
APOL2	0.304861	-1.22032	0.205282	-1.31066			
APOL3	0.820702	1.0231	0.520185	1.0738			
APOL4	0.0159683	-1.24913	0.038262	1.22974			
APOL6	0.194826	-1.51785	0.932222	-1.03001			
APOLD1	0.749557	-1.04529	0.918354	1.01569			
APOO	0.000367135	1.66742	7.63659e-008	-2.67611			
APOOL	0.00334956	1.53811	0.00492538	-1.56718			
APOPT1	0.060006	1.10992	0.776744	-1.01686			
APPBP2	0.102642	-1.44575	0.00509607	-2.06453			
APTX	0.445049	1.1163	0.139653	1.26655			
AQP4	0.28422	-1.6221	0.0542351	-2.64743			
ARAP2	0.00449741	-2.19589	0.00367675	-2.42014			
ARCN1	0.788903	-1.03626	0.378389	1.13783			
ARF4	0.774518	1.0198	6.66292e-010	1.93484			
ARF6	0.804004	-1.03333	0.148399	-1.23712			
ARFGAP3	0.0857106	-1.34746	0.60884	-1.09974			
ARFGEF2	0.000397756	1.55563	6.64627e-005	-1.75443			
ARFIP1	0.677889	-1.06898	0.777984	1.05081			
ARG2	1.86783e-006	2.68801	0.000146046	-2.22255			
ARHGAP11B	0.419478	1.24696	2.21011e-008	9.21425			
ARHGAP18	0.0199978	-2.87076	0.152728	1.99324			
ARHGAP20	0.000178974	3.79664	0.000900727	-3.52543			
ARHGAP25	0.148393	1.22483	0.578858	1.08767			
ARHGAP26	0.862246	-1.08985	0.0951363	-2.52949			
ARHGAP26-IT1	0.968472	1.00697	0.973889	1.00632			
ARHGAP32	0.444327	-1.09622	0.0161661	-1.39225			
ARHGAP6	0.345563	-1.17985	0.0807634	1.40728			
ARHGEF12	0.0801406	-1.30178	0.0617222	-1.36287			
ARHGEF19	0.70947	1.03753	0.0465997	1.24944			
ARHGEF3	0.140081	-1.33575	0.815036	1.05062			
ARHGEF37	0.448522	-1.11875	0.0613896	-1.36492			
ARHGEF6	0.222912	-1.22519	2.46152e-005	2.43586			
ARID4A	0.814261	-1.06175	0.121414	-1.55501			
ARID5A	0.0382168	1.20239	0.678934	1.03969			
ARID5B	0.357011	1.21225	0.0933014	-1.47799			
ARL1	0.808777	-1.02595	9.74572e-005	-1.67576			
ARL16	0.293694	-1.21579	0.896971	-1.0265			
ARL17A	0.688509	1.10953	0.000934614	2.80834			
ARL17B	0.625702	1.06844	3.54314e-005	2.04175			
ARL4A	0.674409	1.11147	0.452116	-1.23108			
ARL4C	0.291947	-1.38202	0.0455994	1.99201			
ARL4D	0.701299	-1.03424	0.257576	-1.11619			
ARL5A	0.00878509	1.2991	0.962544	-1.00485			
ARL6IP1	5.77569e-005	-1.67053	0.00845296	-1.40316			
ARMC10	9.14542e-007	1.82699	0.00113956	-1.47121			
ARMC3	0.324201	1.22589	0.223202	-1.31897			
ARMC5	0.419176	-1.07629	0.730379	-1.03479			
ARMC8	0.947484	1.00744	0.255175	-1.15235			
ARMCX1	0.00166741	1.4743	0.0162085	-1.36839			
ARMCX2	0.00595085	-1.75135	0.0654458	-1.4866			
ARMCX3	0.0342366	1.17156	6.38719e-006	-1.53226			
ARMCX5	0.00280149	1.59318	0.000678515	-1.8108			
ARMCX6	0.457068	1.09066	0.274164	1.15091			
ARNT	0.773955	1.02782	0.0995495	1.19279			
ARPC1A	4.36195e-005	1.58309	0.430219	-1.08787			
ARPC1B	0.247836	1.0948	0.713923	-1.03164			
ARPC3	0.575708	-1.04082	0.0459298	-1.17505			
ARPC5L	0.10595	1.12128	0.0243981	-1.19521			
ARPP21	0.0373232	-1.42342	2.51335e-007	-3.23716			
ARRB1	0.00240838	1.68705	6.43796e-010	-4.6564			
ARRDC3	0.129656	-1.49559	0.0371834	1.85346			
ARSA	0.166431	-1.16279	0.993454	1.00096			
ARSD	0.0810479	1.21751	0.0105114	1.38532			
ARSE	0.00432037	1.40266	0.0719489	1.25099			
ARSF	0.724552	-1.02688	0.772834	-1.02408			
ARSJ	0.286476	-1.64832	0.624137	1.28372			
ARSK	0.790569	1.04821	0.001093	-2.00461			
ARV1	0.00674461	-1.4327	0.00785663	-1.4704			
ARX	0.878008	1.01711	0.374743	-1.11424			
ASAP1	0.00302294	1.85277	0.525435	1.14398			
ASAP1-IT1	0.00191047	1.8037	0.00186949	1.91115			
ASAP2	0.18558	1.22486	0.0070387	-1.60713			
ASB16	0.963835	-1.00534	0.805612	1.0322			
ASB7	0.176398	1.10426	0.153963	-1.12161			
ASCC2	0.29658	-1.10242	0.326906	1.10541			
ASF1B	0.0780055	1.21542	0.00325049	1.45442			
ASNS	1.04154e-005	2.82081	0.914044	1.02367			
ASNSD1	0.00153017	1.52466	0.00167642	-1.58005			
ASPA	0.569015	1.19506	0.000478047	-3.77408			
ASPH	0.0185475	1.8537	0.52374	1.19146			
ASPM	0.0444719	1.70917	2.53118e-012	23.5676			
ASPN	0.533248	1.1092	0.49155	1.13363			
ASS1	0.678907	1.1192	0.0774044	-1.7154			
ASXL3	0.051411	-1.80111	0.136957	-1.62489			
ATAD2	0.0314547	1.33091	8.08995e-009	2.99323			
ATAD5	0.0275331	1.45216	2.40378e-011	6.12928			
ATF1	0.24756	1.1068	0.326332	-1.09862			
ATF4	0.122888	1.3562	0.553734	-1.13419			
ATG12	0.315663	1.12512	0.421557	-1.10863			
ATG16L1	0.665876	1.05397	0.0189682	-1.38746			
ATG3	0.33541	-1.13406	0.0300271	-1.37803			
ATG4A	0.0353918	1.29054	0.212011	1.17552			
ATG4C	0.0212973	1.42318	0.0391175	-1.40945			
ATL1	0.0317754	-1.36581	1.95834e-015	-9.62981			
ATL2	7.95624e-005	1.84112	0.0450234	-1.3586			
ATL3	0.0651212	-1.60718	0.862314	-1.04863			
ATM	0.0984463	1.30094	0.000421726	1.95392			
ATOX1	0.804985	-1.03043	0.865557	1.02276			
ATP10A	0.214176	-1.32025	0.965721	1.01045			
ATP10B	0.00887359	2.7662	0.461201	1.34614			
ATP10D	0.00804397	-2.48908	0.33754	1.40907			
ATP11C	7.72861e-007	4.68296	0.246552	1.3796			
ATP13A3	0.000465889	1.93194	0.936558	1.01485			
ATP1A1	0.00251597	1.86168	0.000532898	-2.22715			
ATP1B3	0.000139355	1.91033	0.197796	-1.23863			
ATP2B1	0.99446	-1.00249	1.59216e-006	-10.1557			
ATP2B2-IT2	0.646224	-1.04961	0.00895414	-1.37676			
ATP5B	0.717145	1.04554	0.000274947	-1.73224			
ATP5F1	0.0922682	1.16972	1.2316e-006	-1.81638			
ATP5G3	0.0755591	1.25621	0.00838434	-1.4668			
ATP5J	0.0428658	1.10892	0.00041833	-1.23669			
ATP5J2	2.07562e-005	1.47355	0.40874	1.07314			
ATP5L	0.419274	1.10399	0.730087	1.04716			
ATP5L2	0.939796	1.00946	0.454533	1.10803			
ATP6AP1	0.994725	1.00092	0.000541339	-1.79685			
ATP6AP2	0.124241	1.27512	4.38413e-005	-2.23442			
ATP6V0B	0.10879	1.20594	0.0130649	-1.38749			
ATP6V0E1	0.737946	1.05505	0.0016684	1.82281			
ATP6V0E2	0.000313985	1.33159	0.187204	-1.10961			
ATP6V0E2-AS1	1.21856e-005	1.44149	1.91477e-007	1.67289			
ATP6V1E1	0.81533	-1.03902	4.56674e-008	-3.63148			
ATP6V1G3	0.833034	-1.01334	0.743633	1.02278			
ATP7A	4.19673e-005	2.1756	0.174864	1.28013			
ATP8B1	0.763787	1.08481	0.0054669	-2.41204			
ATR	2.83437e-007	1.73189	0.579207	1.05264			
ATRNL1	0.0375356	3.55363	0.272105	-2.04224			
ATXN10	0.345879	-1.20771	0.00162054	-2.11274			
ATXN2L	0.829712	-1.01448	0.147032	-1.1141			
ATXN7L1	0.526851	-1.0825	0.0140109	1.42462			
AUH	0.0896744	1.17736	0.0212679	-1.2813			
AUP1	0.026608	1.22231	0.00484497	1.33227			
AURKA	0.000925934	1.48627	6.8572e-006	1.89996			
AVIL	0.925935	1.00665	1.19765e-008	1.82276			
AVL9	0.000137365	1.84987	0.284798	-1.1829			
AWAT2	0.932156	-1.00738	0.858143	-1.01707			
AXL	0.0291008	-1.69051	0.112444	-1.50736			
AZI2	0.018278	-1.25261	0.00916754	-1.31698			
B2M	0.106268	-1.37455	0.602669	1.11639			
B3GNT2	0.322225	-1.16468	0.000336987	-1.95661			
B3GNT5	0.301593	-1.11488	0.000162197	1.62968			
B3GNT9	0.602651	1.04206	0.710812	-1.03262			
B4GALT1	0.594413	1.06889	0.0925418	1.2657			
BACE1	0.993545	-1.00071	0.00487412	-1.33631			
BACH1-IT2	0.060548	1.40291	0.00185561	1.91392			
BACH1-IT3	0.122512	1.28495	0.000149487	2.11665			
BAG4	0.000438418	1.58706	4.58236e-009	-2.83021			
BAG5	0.0118746	1.25119	0.339432	1.09304			
BAHCC1	0.922442	-1.00917	0.0250231	1.27165			
BAIAP2L2	0.612497	-1.05907	0.383118	1.11485			
BAMBI	0.00159529	1.61408	0.000866416	-1.74885			
BARX1	0.548197	-1.08055	0.782486	1.03969			
BATF	0.906417	-1.01382	0.562454	1.07709			
BAZ1A	1.37601e-005	2.04228	0.000995765	1.73347			
BAZ1B	2.58382e-009	1.88036	3.75902e-006	1.59687			
BBS4	0.0154381	-1.60109	0.487776	-1.15146			
BBS7	0.323914	1.12956	3.9734e-007	-2.35957			
BBS9	0.110906	1.28357	0.379363	1.16015			
BCAP29	0.835805	1.04749	0.313024	-1.28333			
BCAP31	0.000415516	1.3451	0.0130483	-1.24104			
BCAS1	0.999224	-1.00032	0.0198427	-2.41805			
BCAS2	0.0896941	1.36654	0.0522272	-1.48339			
BCAT2	0.101514	1.21768	0.205238	1.17982			
BCDIN3D	0.344721	1.06182	0.397644	-1.0605			
BCL10	0.995777	1.00053	0.344057	-1.10916			
BCL11A	0.225053	1.17316	0.00349755	-1.56474			
BCL2L1	0.743945	-1.02657	0.268057	-1.10333			
BCL2L11	5.46634e-005	1.56123	0.0634386	1.22168			
BCL2L13	0.157059	1.18815	0.000548208	-1.65418			
BCL9L	0.595508	-1.04485	6.34336e-005	1.51585			
BCLAF1	0.373183	1.15865	0.0792131	1.38295			
BCMO1	0.726553	-1.02482	0.629492	1.03779			
BCO2	0.321026	1.07182	8.75512e-014	-2.64382			
BDP1	0.437388	1.17122	0.983877	-1.00449			
BEND6	0.22423	-1.16736	4.43867e-014	-6.11725			
BEST3	0.0964221	2.01077	1.29674e-005	10.1928			
BET1	7.23961e-007	1.76167	0.405297	1.0876			
BEX5	0.28332	-1.08858	1.28391e-017	-4.62155			
BFAR	0.081352	1.17638	0.673934	1.04282			
BHMT2	0.551803	-1.02623	0.00227056	-1.17032			
BICD2	0.000498757	1.21878	0.0907219	1.10194			
BID	6.84986e-009	1.76582	0.0106238	-1.23749			
BIRC2	0.221581	-1.25853	0.06168	1.47951			
BIRC3	0.956249	1.01316	0.00060382	2.6973			
BIRC5	0.669127	-1.07725	0.00348155	1.82044			
BLID	3.07814e-006	2.56734	5.18736e-009	4.29904			
BLVRB	0.29014	-1.1318	0.188218	-1.18482			
BLZF1	0.599073	1.10734	0.728678	-1.07638			
BMI1	0.0045424	1.65087	0.00219795	-1.82128			
BMPER	0.939784	-1.01197	0.0303308	-1.47555			
BMPR1A	0.943467	-1.02512	0.299321	-1.49402			
BMPR1APS2	0.812119	-1.0746	0.236821	-1.48697			
BNIP2	0.750331	1.04757	0.469405	1.12318			
BOD1	0.0119516	1.25108	2.49488e-006	1.70086			
BOD1L1	0.257845	1.19711	0.206875	1.24662			
BPGM	0.00255464	1.37604	0.206821	1.14691			
BPIFA3	0.93962	1.0052	0.109082	1.13074			
BPIFB6	0.447632	-1.06058	0.0989763	1.15323			
BRAF	0.0230977	1.26158	0.00139211	-1.45417			
BRCA1	0.170812	1.22935	9.33463e-008	3.08121			
BRCC3	0.00395655	1.70257	0.12471	-1.34302			
BRE-AS1	0.408752	1.11219	0.825999	-1.03131			
BRIX1	0.00487302	1.57832	0.505111	-1.11732			
BRMS1L	0.723996	1.08076	0.00021028	-2.73524			
BRP44	0.722227	1.02276	6.86813e-011	-1.96425			
BSPRY	0.457225	-1.07602	0.415191	-1.09205			
BST2					0.434208	1.50149	
BTBD1	0.495053	-1.12415	0.0010062	-1.96654			
BTBD11	0.434466	-1.11259	4.21791e-005	-2.02714			
BTBD3	0.385075	1.29082	0.000477328	-3.46655			
BTC	0.400456	-1.08081	0.839967	1.02054			
BTF3	0.0196128	1.38631	0.429828	1.12315			
BTF3L4P1	0.000150483	1.50502	0.848023	1.02016			
BTF3P10	0.00170959	1.54	0.227922	1.18414			
BTF3P11	0.00394856	1.54858	0.232573	1.20553			
BTG2	0.366017	1.22624	9.14876e-005	3.0006			
BTN2A2	0.0978149	-1.18984	2.07306e-006	1.92089			
BTN2A3P	0.764714	-1.02841	1.37294e-007	2.00365			
BTN3A1	0.265273	-1.29196	0.0309545	1.75008			
BTN3A2	0.651373	-1.1038	0.0520102	1.61549			
BTN3A3	0.341431	-1.25748	0.0345264	1.77709			
BUB1	0.527687	1.13343	2.08688e-011	9.21019			
BUB3	0.132153	1.20289	0.255152	1.16378			
BUD13	0.391687	1.08591	1.14884e-005	1.72529			
BUD31	1.61095e-005	1.41623	4.27516e-005	1.42692			
BVES	0.00252742	-4.83167	0.0917852	-2.48922			
C10orf107	0.248779	-1.34044	0.126986	-1.5347			
