Gene	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	p-value(Mesenchymal-line vs. B10)	fold change(Mesenchymal-line vs. B10)	p-value(Proneural-line vs. B10)	fold change(Proneural-line vs. B10)	p-value(Classical-tex vs. TOTBRAIN)	fold change(Classical-tex vs. TOTBRAIN)	p-value(Mesenchymal-tex vs. TOTBRAIN)	fold change(Mesenchymal-tex vs. TOTBRAIN)	p-value(Proneural-tex vs. TOTBRAIN)	fold change(Proneural-tex vs. TOTBRAIN)	
ANXA5	1.63232e-006	-3.36167	0.268994	1.28617	0.489097	-1.15899	8.74804e-005	2.75192	1.73194e-005	3.12912	0.00113315	2.5313	
SNORD114-17	0.00527448	-3.1693	0.494384	1.33717	8.73498e-007	-11.4988	0.00226112	-4.06376	7.95925e-005	-6.79914	3.07606e-009	-55.3634	
TSHZ2	0.0276942	-3.05158	6.29222e-006	17.9125	0.052974	2.72694	0.561112	1.36397	0.799465	-1.14495	0.011094	-5.21144	
FST	0.0233872	-3.02531	0.0281122	3.2261	0.386956	-1.52221	0.616485	1.29292	0.497582	1.41701	0.228474	-2.05569	
HHIP	0.00668766	-3.01913	0.0205569	2.7617	0.689218	1.17135	0.000101716	-6.42097	0.00331154	-3.76504	0.00892388	-3.82502	
HLA-C	0.000947358	-2.94297	2.28307e-005	5.02787	0.375364	1.31474	0.0117212	2.37681	0.457543	1.27475	0.463715	1.31842	
ANK3	0.0429365	-2.8971	0.291241	1.8079	0.730576	-1.19797	5.84879e-005	-13.1445	0.000101086	-11.8055	0.0010127	-10.1506	
VCAM1	0.0136791	-2.89154	0.0150416	3.14345	0.556682	-1.28254	0.000398438	5.86629	0.07	2.30319	0.971661	-1.01854	
ARHGAP18	0.0199978	-2.87076	0.0014524	5.1985	0.19046	1.81072	0.0038208	4.36718	0.152728	1.99324	0.747175	1.19317	
MYO3B	8.00704e-006	-2.85502	0.336401	1.23215	0.269621	1.25431	0.955798	-1.01201	0.361491	1.21898	0.216872	1.36512	
KDELR3	0.000747229	-2.84374	0.000126159	3.82552	0.0393002	1.85832	0.423516	1.28077	0.1566	1.55758	0.435671	-1.3208	
MAPK10	4.01618e-007	-2.84316	0.233963	1.24065	0.0320794	-1.45682	0.039986	-1.46399	5.8559e-007	-3.06624	3.95134e-008	-4.46604	
ADM	1.3586e-007	-2.83376	0.609245	-1.08995	0.00332067	-1.65125	0.522347	-1.11398	4.68628e-006	2.53058	0.560026	1.12016	
EYA4	0.139302	-2.81965	0.0938907	3.64587	0.409516	-1.80335	0.95105	-1.04737	0.515237	1.63618	0.656078	-1.47456	
PRSS12	0.0118262	-2.8083	0.476816	1.35531	0.0117617	-2.90767	0.879908	1.06641	0.000138469	6.31171	0.00389785	4.59095	
KCNIP4-IT1	0.000453431	-2.80387	0.000164961	3.43614	0.0148672	-2.01155	8.86489e-006	-4.62904	0.0538824	-1.77814	0.00384034	-2.82331	
LOC647946	0.0177308	-2.75568	0.00312956	4.14531	0.548456	-1.28818	0.0601773	2.37348	0.0872266	2.18673	0.687554	-1.23061	
LYN	2.99223e-005	-2.73297	0.000416922	2.43466	0.277109	1.26369	0.0955124	1.47105	0.633411	1.11411	0.367331	-1.26745	
NCOA1	0.000205871	-2.73058	0.25645	1.35176	0.792622	1.06733	0.414326	1.24069	0.147912	-1.4725	0.0601419	-1.79983	
PCDHB4	0.0654269	-2.7261	0.486281	1.49927	0.173039	2.12968	0.676644	-1.27373	0.50213	-1.47738	0.0111151	-6.02084	
PLA2G16	0.0145894	-2.72595	0.113651	1.9948	0.907	1.0482	0.225345	-1.68976	0.0414896	-2.46602	0.00166289	-5.42324	
PTK2B	1.03091e-007	-2.69241	0.174359	1.24281	3.97548e-006	-2.29053	4.39775e-005	-2.1085	1.2227e-006	-2.57216	1.12342e-006	-2.99329	
TMEM2	0.00903505	-2.66676	0.124938	1.83592	0.207003	-1.59681	0.917002	-1.04128	0.0803785	2.00675	0.262571	1.66105	
TLR3	0.0752856	-2.64766	0.00105866	8.15129	0.4161	1.56836	0.077449	2.88167	0.714362	1.23847	0.0822023	-3.32668	
TLCD1	0.00020813	-2.63554	0.00187095	2.35851	0.0918485	1.51144	0.573499	1.15394	0.566223	-1.15711	0.593342	-1.16977	
EFNB2	0.0218847	-2.61996	0.0145737	3.09978	0.820323	1.09885	0.829237	1.09959	0.0422183	-2.52403	0.0355622	-3.03133	
PRDM5	3.38696e-005	-2.5843	0.0984758	1.43964	0.352471	-1.20958	0.0189537	1.699	0.0326415	1.61394	0.197994	1.38378	
RPH3A	0.0673788	-2.58356	0.322464	1.73525	0.0108485	4.06774	0.000503994	-8.46544	0.000939182	-7.46548	0.0513193	-3.61159	
IFIH1	0.145352	-2.57644	0.00117237	12.0273	0.672601	1.32183	0.0692436	3.69396	0.398141	1.81198	0.65544	-1.43462	
LRRTM2	0.107882	-2.56609	0.638691	1.34375	0.583425	-1.38483	0.0135367	-5.12659	0.0035156	-7.19513	0.00664228	-8.14751	
IFITM3	0.0470548	-2.56408	0.00235564	5.23239	0.727054	1.17991	0.143942	2.11132	0.523578	-1.37911	0.53548	-1.43407	
MAST4	0.00144527	-2.56249	0.257264	1.40401	0.0933758	-1.61618	0.997614	-1.00089	0.116626	-1.6076	0.00853252	-2.59896	
C14orf64	0.00124757	-2.54461	0.064819	1.73392	0.454394	1.22774	0.00327797	2.50289	0.127886	1.56765	0.168031	-1.59739	
NRCAM	0.0016329	-2.53089	0.00219211	2.67602	0.00238522	-2.507	0.734541	1.10579	0.977646	-1.00834	0.702563	1.13974	
PROX1	0.0168261	-2.53061	0.0208995	2.66314	0.95351	1.02252	0.0934861	-2.00561	0.547699	-1.27672	0.258473	-1.70632	
ATP10D	0.00804397	-2.48908	0.0479045	2.06624	0.301151	-1.41768	0.00749545	2.74294	0.33754	1.40907	0.573455	1.26019	
S100A11	0.0220877	-2.45152	0.471467	1.3455	0.53619	1.27135	0.152096	1.81843	0.439887	1.3751	0.524811	1.35302	
GPC4	0.0165506	-2.4488	0.142094	1.79076	0.739616	1.13	0.267369	1.54765	0.434238	-1.35838	0.0260253	-2.84328	
CDKL5	0.00264499	-2.44006	0.295372	1.37362	0.0960173	1.62083	9.40527e-005	-3.82908	3.08426e-006	-5.49612	9.76833e-006	-6.21439	
SLC16A4	0.000385957	-2.43626	0.34114	1.26632	0.285886	1.2841	0.00252021	2.23615	0.417946	1.22199	0.0758308	1.67926	
CRYBG3	6.08285e-005	-2.39189	0.000272048	2.32871	0.0125318	1.67106	0.439953	-1.17406	0.57039	1.12484	0.69941	-1.09668	
TTTY15	0.199305	-2.38484	0.738234	1.27722	0.739268	1.25827	0.137249	3.02722	0.902596	1.09366	0.916421	1.09269	
COL5A2	0.00103909	-2.35295	0.00317361	2.28863	0.943131	1.01766	0.294307	1.31718	0.166112	1.44243	0.425499	1.27224	
PCDHB16	0.0818686	-2.3494	0.410167	1.54359	0.0121708	3.69718	0.00748613	4.44015	0.000244951	8.69297	8.36509e-008	67.6176	
DIRAS3	9.32739e-006	-2.33907	1.28084e-007	3.32079	0.507737	-1.11684	0.00475905	1.70428	0.805406	1.04441	0.0517931	1.50519	
SERPINI2	3.95306e-005	-2.33099	0.225174	1.26941	0.0482385	-1.45354	2.67434e-010	5.9493	0.790336	-1.05303	0.00028869	-2.49007	
SNORD114-10	0.0554972	-2.33006	0.0463757	2.62845	0.00415814	-3.89776	0.246265	-1.73326	0.0232338	-3.04171	8.89087e-006	-17.6082	
LOC100507376	0.000160578	-2.31493	0.00329358	1.97553	0.00508568	-1.8361	0.252016	1.28275	0.49561	-1.15843	0.00021499	-2.81765	
ZNF560	0.017125	-2.31181	0.00216547	3.38771	0.0438098	2.05784	0.827066	1.08345	0.337577	1.42538	0.185197	1.76737	
GBP1	0.168073	-2.30845	3.08434e-005	24.0306	0.0801155	3.02803	0.0142924	5.40572	0.192349	2.37558	0.364966	-1.99196	
LRIG3	0.000830022	-2.30795	2.65192e-005	3.39307	0.8168	1.05584	7.23542e-006	3.80065	0.0001599	2.89788	0.00706343	2.27835	
HIST1H3H	0.00167736	-2.29337	0.212044	1.39916	0.659421	-1.11688	0.275461	1.3399	1.32771e-005	3.93316	0.000288784	3.48139	
TNC	0.015957	-2.29178	0.324902	1.42757	0.642419	-1.17033	3.78215e-005	5.56925	0.000184382	4.55533	0.0173428	2.81346	
CD109	0.174242	-2.25694	3.30808e-006	38.3564	0.0108745	5.15665	0.0422902	3.89242	0.728091	1.25214	0.141741	-3.05407	
COBL	1.9255e-006	-2.2193	0.0874674	1.29974	2.49886e-005	2.00589	0.000861652	-1.73198	0.00863566	-1.51744	0.225775	1.23606	
C11orf63	0.00118905	-2.21363	0.128813	1.46173	0.897487	1.03022	0.0550549	1.6245	0.594162	1.13986	0.202386	1.44164	
ARAP2	0.00449741	-2.19589	0.385092	1.28051	0.699815	-1.10844	0.44793	-1.24074	0.00367675	-2.42014	5.73744e-005	-4.55419	
TGFB2	0.0021936	-2.19435	2.77394e-006	4.38786	0.89547	-1.03263	0.00148648	2.45671	0.789895	1.07153	0.0173894	-2.11081	
RND3	0.00296722	-2.18918	0.000124557	3.21829	0.000493392	-2.65789	0.577928	-1.16103	0.000309975	2.94981	0.886678	1.04503	
CX3CL1	3.93701e-008	-2.16447	0.470139	-1.08844	0.609733	1.05796	6.02694e-005	-1.71628	8.90804e-006	-1.85643	9.92956e-005	-1.82199	
MDFIC	6.52574e-007	-2.15303	0.00572531	1.48969	0.0675218	-1.27062	0.000187991	1.76833	0.00158116	1.5925	0.00147552	1.71827	
LGR4	0.00133946	-2.1511	0.0318947	1.70568	0.58001	-1.13331	0.724482	-1.08808	0.21382	-1.35165	7.81616e-005	-3.4975	
FBXL7	2.17567e-008	-2.15105	0.0315424	1.28598	0.170787	-1.15897	3.74609e-006	1.87716	0.0470969	1.25972	0.630271	-1.06462	
SRGAP1	0.00361261	-2.14949	0.190666	1.42683	0.377571	-1.2513	7.90754e-005	3.36104	0.0102432	2.0698	0.16956	1.53953	
PAX6	0.000283194	-2.1346	0.19716	1.30561	0.120587	-1.35602	0.000374007	2.24847	0.00520369	1.83927	0.771176	1.07092	
PARP8	9.17767e-006	-2.13027	0.034723	1.41032	0.00851313	1.51084	0.943888	-1.01109	0.0101468	-1.53189	0.012579	-1.61037	
FLRT2	2.22205e-006	-2.12475	0.00443237	1.54577	2.8994e-006	-2.15056	3.40464e-006	-2.23466	1.51787e-007	-2.61874	2.05692e-014	-9.31898	
IAH1	0.00017159	-2.12323	0.0890233	1.40212	0.372102	1.17855	0.294084	-1.22797	0.45693	-1.15596	0.0866104	-1.48201	
ACBD3	8.11042e-005	-2.09513	0.0973641	1.35559	0.147335	1.28316	0.904332	-1.02178	0.650684	1.08472	0.244859	-1.27573	
PCDHB8	0.0410305	-2.09274	0.0495258	2.17164	0.00870304	2.72556	0.000331626	4.64092	2.24618e-006	9.10419	2.71153e-009	38.1887	
SLC9A2	0.0124626	-2.07953	0.150248	1.56111	0.477209	-1.22719	0.0755431	-1.74255	0.124578	-1.61068	0.270778	-1.4782	
KITLG	0.0139088	-2.06578	3.06632e-007	7.32493	0.969286	-1.0112	0.092024	-1.69804	0.000678021	-3.16739	9.39706e-009	-15.7275	
LMO3	0.0574728	-2.04877	0.578449	1.25035	0.0558709	-2.10829	0.347482	-1.46171	0.00345225	-3.5354	9.46749e-007	-16.7631	
RGAG4	0.000252523	-2.04688	0.209829	1.2742	0.0446498	-1.45296	0.0480831	-1.47649	0.022841	-1.57409	0.000165583	-2.55808	
DDX60L	0.240199	-2.04575	0.0002232	15.5593	0.0986508	2.86187	0.0206285	4.94872	0.22343	2.25575	0.925614	1.07373	
SVEP1	0.00879756	-2.03847	0.0428697	1.80164	0.280707	-1.33419	0.522775	-1.19723	0.769796	-1.08568	0.442499	1.28425	
SORL1	0.029419	-2.03653	0.00920282	2.58178	0.772133	-1.0984	0.496168	-1.26452	0.0469255	-2.02584	5.26682e-005	-6.37944	
IFITM4P	0.063834	-2.03643	0.000160866	5.73031	0.34428	1.44306	0.0334894	2.46498	0.896602	-1.05449	0.892508	-1.06578	
LINC00488	0.220312	-2.02915	0.00401678	6.88631	0.00904899	5.10105	0.704873	1.26716	0.878799	1.09992	0.871644	-1.12358	
PDGFD	0.0122231	-2.02578	0.00383067	2.48189	0.487513	-1.2119	0.334651	1.32891	0.133491	-1.56401	0.0472705	-1.99925	
PPARGC1A	0.0259785	-2.00735	0.16035	1.59852	0.557873	1.19969	0.0115342	2.40327	0.164109	-1.59163	0.000131825	-5.20376	
CD99	0.00273178	-2.00344	0.000489243	2.48741	0.648168	1.1066	0.000848379	2.3727	0.00066809	2.422	0.0486914	1.73852	
TRIM34	0.00159782	-1.99851	0.0507624	1.56017	0.582396	1.12137	0.00133854	2.16638	0.0842459	1.47744	0.642251	1.12574	
SNORD114-2	0.0284621	-1.99204	0.0081363	2.53349	0.000397706	-3.42896	0.0156317	-2.31776	0.000104683	-4.32633	1.91516e-009	-24.6543	
CAV1	0.0210885	-1.98423	0.00143242	2.95299	0.029076	1.9473	0.0286827	2.03145	0.00225712	2.80007	0.431161	-1.32861	
PLD1	0.00807168	-1.9822	0.0297931	1.82682	0.906171	1.03004	2.75133e-005	-3.68798	8.9471e-006	-4.09656	0.000132625	-3.80494	
SNORD113-4	0.0716766	-1.97547	0.119884	1.89538	0.000805741	-4.06807	0.000555728	-4.6783	7.83782e-005	-6.20324	1.54093e-008	-34.1492	
HLA-E	0.0138319	-1.9748	7.48418e-005	3.69603	0.398266	1.259	0.067721	1.71652	0.511395	-1.20859	0.349146	-1.36763	
ZNF486	0.0044132	-1.97109	0.0584253	1.60802	0.50838	1.16458	0.81857	1.05746	0.582941	1.14341	0.519842	-1.19907	
ANTXR2	0.0153193	-1.9683	0.0139335	2.12416	0.249074	-1.37666	0.0139369	2.1241	0.0299483	1.92977	0.124616	1.69254	
OPCML	0.100426	-1.96803	0.546013	1.3063	0.653138	-1.20594	7.38479e-005	-7.45252	1.05645e-005	-10.0768	0.0411681	-2.9387	
CRNDE	0.0211902	-1.96583	2.26851e-006	5.89263	0.068522	-1.72002	3.10937e-006	5.69462	1.6262e-005	4.76325	0.663294	1.16716	
RPS6KA6	0.114139	-1.95487	0.424926	1.44055	0.592063	-1.25915	0.0661035	-2.36468	0.0228942	-2.95128	0.0168099	-3.74103	
HIST1H4H	3.04775e-006	-1.94608	8.13994e-015	6.07562	0.313154	1.13123	1.59207e-005	1.92442	9.31326e-009	2.71955	9.85926e-005	1.93596	
ADAM12	0.22751	-1.94334	0.036632	3.64111	0.102309	2.55653	0.293029	1.88188	0.603396	1.36368	0.996288	1.00321	
MYADM	0.000325692	-1.94186	0.0216775	1.54336	0.555899	1.10584	0.237884	1.24081	0.78508	-1.05053	0.890687	1.02909	
GMPR	0.0203986	-1.93723	0.00307718	2.59215	0.948184	1.01845	1.48271e-005	4.60172	0.657926	1.14145	0.277491	-1.45909	
IFI6	0.292671	-1.93712	1.6732e-005	31.8308	0.112463	2.83638	0.108477	3.06103	0.62787	-1.39262	0.877374	-1.12921	
ACVR2A	0.00211868	-1.92943	0.0718054	1.49109	0.0021025	-1.97263	0.00320183	-1.98568	0.00240115	-2.0334	9.09354e-005	-3.05372	
CACHD1	0.000978542	-1.92026	0.23771	1.26574	0.000131418	-2.24479	0.000838327	2.06672	0.295546	1.23151	0.0222117	-1.72406	
SNORD114-1	0.102545	-1.91708	0.000879617	4.77607	0.0105549	-2.97034	0.018809	-2.86187	0.0103959	-3.18157	3.69527e-009	-55.1873	
OAS3	0.148359	-1.91289	0.000386697	6.77703	0.0902484	2.20437	0.0317728	2.94096	0.363842	1.55522	0.272189	1.85635	
LOC644554	0.0193446	-1.91108	0.00845383	2.24596	0.509109	1.19822	0.379307	-1.29194	0.120358	1.58235	0.016946	-2.31201	
PAK1	0.0244908	-1.90783	0.394531	1.29443	0.7836	-1.08118	3.84339e-005	-4.22372	3.7475e-006	-5.40419	1.19928e-005	-6.08546	
IFIT1	0.345975	-1.90776	0.002617	11.3094	0.614279	1.42595	0.401126	1.8765	0.255599	-2.3549	0.0845849	-4.58188	
SNORD114-3	0.115755	-1.90394	0.00785884	3.45741	0.00595524	-3.37178	2.96958e-005	-8.49965	8.87841e-006	-10.2392	1.03653e-011	-211.682	
OSTF1	0.115442	-1.90329	0.00205878	4.33762	0.787406	1.11802	0.0343384	-2.62257	0.0240657	-2.81066	0.0551034	-2.72424	
ZNF528	0.0328028	-1.89381	0.428226	1.28537	0.767778	-1.09179	0.192091	1.51761	0.261421	1.43017	0.671313	1.16729	
PAX3	0.117973	-1.89294	0.437234	1.40772	0.14588	-1.84291	0.825047	-1.1017	0.0012419	4.7037	0.00222155	5.35256	
CRISPLD2	0.00104132	-1.88899	0.19633	1.28864	0.15715	-1.3002	0.0186446	-1.61181	0.0226589	-1.58581	0.0419248	-1.60142	
ZNF423	2.27058e-006	-1.8845	0.000484372	1.59402	0.201768	-1.1579	9.89331e-007	2.07411	0.334492	-1.12397	0.552666	-1.08613	
IFI44	0.31906	-1.88141	1.26975e-005	35.2837	0.0441396	3.87134	0.000547191	14.0622	0.00457666	8.11894	0.0347104	5.72862	
UEVLD	0.00426181	-1.87296	0.183572	1.35331	0.898221	-1.0274	0.806613	1.05643	0.874249	-1.03611	0.0357341	-1.75829	
USP9Y	0.327814	-1.86423	0.696795	1.30976	0.640505	1.35673	0.216158	2.3788	0.846038	-1.14378	0.803356	-1.22014	
SLC10A7	0.00635096	-1.85994	0.0206183	1.76149	0.365728	-1.22211	0.0128798	1.84536	0.202859	1.352	0.0737833	-1.64144	
PARP14	0.169763	-1.85979	0.0426467	2.78124	0.928795	1.0419	0.00153805	5.38489	0.246354	1.77046	0.41739	1.5821	
SYTL2	0.00285136	-1.85876	0.000105933	2.54084	0.0619159	1.4654	0.00860589	-1.79966	0.12298	1.39332	0.226964	1.34672	
GULP1	0.0406897	-1.85178	0.389331	1.31735	0.0433523	-1.87305	0.058171	-1.86174	0.35897	-1.34174	1.58465e-005	-6.498	
MYOF	0.140869	-1.84418	2.02686e-008	28.4272	0.0320089	2.55974	0.00319157	4.14117	0.0280013	2.78316	0.661376	-1.25412	
CENPO	0.00066639	-1.84358	0.149856	1.29806	0.598339	1.09265	0.00218186	1.80703	2.25862e-005	2.42182	3.77484e-006	3.16002	
SEMA3A	0.374876	-1.84073	0.000691889	16.5534	0.606048	1.43998	0.837942	-1.16543	0.236852	-2.4489	0.133601	-3.74734	
ZNF808	0.00588478	-1.83592	0.321281	1.25404	0.402047	1.19708	0.27811	1.28139	0.272709	1.28506	0.22657	1.37711	
PLXNA4	0.0702193	-1.83432	0.531149	1.25143	0.822622	-1.0784	0.322533	1.42769	0.122292	-1.75573	0.363274	-1.45842	
HLA-DRA	0.165325	-1.83252	0.17736	1.9051	0.46975	-1.37999	0.0418558	2.69637	0.783702	1.13795	0.00441799	5.25227	
HIST1H2AC	0.0146894	-1.83039	0.000921989	2.56035	0.339606	-1.26362	0.505781	-1.18797	0.34548	1.27778	0.214972	1.45367	
SNORD114-14	0.0794725	-1.82084	0.0106766	2.67701	0.00300276	-3.00722	0.0242833	-2.35828	0.0118396	-2.63576	1.16009e-007	-17.8445	
STOM	0.216131	-1.81732	0.0610711	2.73969	0.661643	1.24089	0.355371	1.62606	0.357248	-1.62294	0.0249206	-4.10373	
HLA-H	0.0235553	-1.817	1.78127e-006	5.05905	0.215301	1.38715	0.00825733	2.17178	0.272936	1.35829	0.359036	1.34302	
WHAMMP1	0.0747672	-1.80743	0.0046583	2.92701	0.141497	1.64878	0.761022	-1.11383	0.335632	1.41015	0.191033	1.72037	
CD274	0.00571947	-1.80447	0.160081	1.36744	0.0380643	-1.55961	0.622048	-1.11428	0.46333	-1.17514	0.0493199	-1.67187	
ASXL3	0.051411	-1.80111	0.0592407	1.86433	0.187926	-1.49715	0.236397	-1.46788	0.136957	-1.62489	0.329485	-1.43851	
FAM111B	0.133984	-1.79673	0.00543292	3.48663	0.537027	1.2781	0.00131661	4.3781	1.53516e-006	12.015	3.08934e-005	10.5697	
SPARC	0.0192285	-1.79448	0.189339	1.41577	0.9577	1.01314	0.000728427	2.64914	0.0276647	1.82062	0.177909	1.51042	
SCN2A	0.00624438	-1.79051	0.079357	1.4829	0.0225858	1.6352	2.06863e-012	-11.8127	6.16483e-013	-13.3695	1.34682e-009	-8.62805	
GSTT2	0.00231059	-1.7812	0.0746865	1.42003	0.0774076	1.38736	0.00816635	1.71254	0.422238	1.1671	0.142599	-1.3912	
CDCP1	0.00199108	-1.77774	2.27647e-005	2.53948	0.315381	-1.19619	0.235276	1.25281	0.118779	1.34828	0.509366	-1.1543	
SNORD114-16	0.00809626	-1.77539	0.0163859	1.75725	6.94026e-005	-2.62238	0.55771	-1.14046	0.293324	-1.26759	1.77598e-005	-3.6859	
SCN3A	0.244418	-1.7731	0.374279	1.61057	0.909364	-1.05886	0.662476	1.26232	0.0445166	3.0287	0.0013174	8.68635	
ZNF804A	0.176643	-1.77152	0.387262	1.48762	0.101178	-2.05809	0.0344409	-2.72659	0.301175	1.61004	0.461478	1.47691	
TIAM1	0.0304351	-1.76959	0.0135215	2.0591	0.992284	-1.00253	0.0419193	-1.79478	0.000498815	-2.92712	0.00061877	-3.37049	
CD97	0.00014922	-1.76663	0.52219	-1.0975	0.0561627	-1.30877	0.114999	1.26264	0.0267874	1.39736	0.000523699	1.9049	
TDRD7	0.0305468	-1.76385	0.0120865	2.0783	0.100776	1.5483	0.79349	-1.07501	0.00423068	-2.33435	0.00286852	-2.79188	
GALNT10	0.0104818	-1.7608	0.220662	1.32831	0.831017	-1.04714	0.00675565	1.93561	0.410466	1.2086	0.0273039	-1.83704	
ARMCX2	0.00595085	-1.75135	0.00993822	1.76958	0.0348705	1.54042	0.812387	1.0509	0.0654458	-1.4866	0.133547	-1.44659	
DTL	0.0129365	-1.75083	0.371035	1.23469	0.659547	1.10229	7.99633e-008	5.12381	1.1534e-011	11.7177	5.11071e-014	34.281	
NAALADL2	0.00020322	-1.74648	0.116679	1.26285	0.758313	1.0432	0.135795	1.24787	0.0187727	1.43181	0.00383719	1.6867	
LGALS1	0.01349	-1.74456	0.000133442	2.76452	0.0230019	1.68977	0.638264	1.11659	0.208427	1.34785	0.0711268	-1.65146	
TP53I3	1.97333e-005	-1.74076	0.0589073	1.26579	0.192795	-1.16273	0.000506686	1.59639	0.0475348	1.28148	0.279506	1.16492	
UBASH3B	0.166197	-1.73984	0.0731174	2.21221	0.727233	1.15248	0.0748077	-2.20142	0.383201	-1.45986	0.218497	-1.85976	
TCF19	0.00180596	-1.73348	0.0001012	2.19941	0.0377768	1.43426	0.0101883	1.62039	0.00319284	1.75803	0.00116228	2.07422	
LIPG	0.25822	-1.73333	0.0594359	2.7852	0.794642	1.1382	0.0398643	3.07496	0.271649	1.79588	0.205161	-2.18552	
FAS	0.00110768	-1.73229	0.106861	1.31959	0.566444	-1.09546	0.747802	-1.05563	0.138556	1.28899	0.000226355	-2.24122	
